"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"setting/on";"on";"Activé";"Attivato";"Ein";"on";"да";"Wł.";"zapnuto";"açık";"开";"開";"オン";"Ativado";"bật";"увімк.";"uključen";"켜짐";"be";"ўкл.";"activ";""
"youtube_url";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/c/warthunderru";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";"https://www.youtube.com/user/gaijinent";""
"twitter_url";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";"https://twitter.com/WarThunder";""
"register_url";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher/fr";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/es/play4free?r=Launcher";"https://warthunder.com/ru/play4free?r=Launcher";"https://warthunder.com/pl/play4free?r=Launcher";"https://warthunder.com/cz/play4free?r=Launcher";"https://warthunder.com/tr/play4free?r=Launcher";"https://warthunder.com/zh/play4free?r=Launcher";"https://warthunder.com/zh/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/pt/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/ko/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";"https://warthunder.com/en/play4free?r=Launcher";""
"register_url_steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam/fr";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/ru/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/pt/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";"https://warthunder.com/play4free?r=steam";""
"eula_url";"https://legal.gaijin.net/en/termsofservice";"https://legal.gaijin.net/fr/termsofservice";"https://legal.gaijin.net/it/termsofservice";"https://legal.gaijin.net/de/termsofservice";"https://legal.gaijin.net/es/termsofservice";"https://legal.gaijin.net/ru/termsofservice";"https://legal.gaijin.net/pl/termsofservice";"https://legal.gaijin.net/cz/termsofservice";"https://legal.gaijin.net/tr/termsofservice";"https://legal.gaijin.net/zh/termsofservice";"https://legal.gaijin.net/zh/termsofservice";"https://legal.gaijin.net/jp/termsofservice";"https://legal.gaijin.net/pt/termsofservice";"https://legal.gaijin.net/en/termsofservice";"https://legal.gaijin.net/en/termsofservice";"https://legal.gaijin.net/en/termsofservice";"https://legal.gaijin.net/ko/termsofservice";"https://legal.gaijin.net/en/termsofservice";"https://legal.gaijin.net/en/termsofservice";"https://legal.gaijin.net/en/termsofservice";""
"game_site";"https://warthunder.com/en/";"https://warthunder.com/fr/";"https://warthunder.com/it/";"https://warthunder.com/de/";"https://warthunder.com/es/";"https://warthunder.com/ru/";"https://warthunder.com/pl/";"https://warthunder.com/cz/";"https://warthunder.com/tr/";"https://warthunder.com/zh/";"https://warthunder.com/zh/";"https://warthunder.com/en/";"https://warthunder.com/pt/";"https://warthunder.com/en/";"https://warthunder.com/en/";"https://warthunder.com/en/";"https://warthunder.com/ko/";"https://warthunder.com/en/";"https://warthunder.com/en/";"https://warthunder.com/en/";""
"news_site_url";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/fr/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";"https://warthunder.com/es/news/";"https://warthunder.com/ru/news/";"https://warthunder.com/pl/news";"https://warthunder.com/cz/news/";"https://warthunder.com/en/news/";"https://warthunder.com/zh/news/";"https://warthunder.com/zh/news/";"https://warthunder.com/en/news/";"https://warthunder.com/pt/news/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";"https://warthunder.com/ko/news/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";"https://warthunder.com/en/news/";""
"eac_explain_url";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/fr/news/5980-mise-a-jour-du-systeme-anti-triche-de-war-thunder-fr";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/de/news/6575-war-thunder-anti-cheat-system-update-de";"https://warthunder.com/es/news/4884-actualizacion-del-sistema-anti-trampas-de-war-thunder-es";"https://warthunder.com/ru/news/14481-v-razrabotke-easyanticheat-prihodit-v-war-thunder-ru";"https://warthunder.com/pl/news/6438-aktualizacja-systemu-przeciwdzialania-cheatom-w-war-thunder-pl";"https://warthunder.com/cz/news/4462-aktualizace-anti-cheat-systemu-ve-war-thunderu-cz";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/zh/news/1876-you-xi-nei-fan-zuo-bi-xi-tong-sheng-ji-zh";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/pt/news/4523-atualizacao-do-sistema-anti-cheat-do-war-thunder-pt";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/ko/news/8891-wo-sseondeoui-saeloun-anti-chiteu-siseutem-ko";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";"https://warthunder.com/en/news/9247-war-thunder-anti-cheat-system-update-en";""
"settings/hd_client_title";"High quality textures of tanks and planes, aircraft cockpits, and high quality sound effects. It may increase game download and update time";"Textures de haute qualité pour les chars, les avions, les cockpits et les effets sonores. Ceci peut augmenter le temps de teléchargement et de mise à jour";"Texture per aerei e carri armati ad alta qualità, cabina degli aerei, suoni ad alta definizione. Può allungare il tempo di download e di aggiornamento del gioco";"Beinhaltet hochqualitative Texturen für Fahr- und Flugzeuge, Flugzeug-Cockpits und bessere Soundeffekte. Kann die benötigte Zeit für Download und Aktualisierung des Spiels verlängern.";"Texturas de alta calidad de tanques y aviones, cabinas de aviones y efectos de sonido de alta calidad. Puede aumentar la descarga del juego y actualizar el tiempo";"Высококачественные текстуры танков и самолётов, кабины самолётов и высококачественные звуковые эффекты. Это может увеличить время загрузки и обновления игры.";"Tekstury wysokiej jakości dla czołgów, samolotów, kokpitów oraz efekty dźwiękowe wysokiej jakości. Wydłuży to czas pobierania.";"Textury tanků a letadel ve vysoké kvalitěHigh quality textures of tanks and planes, aircraft cockpits, and high quality sound effects. It may increase game download and update time";"Tankların ve uçakların yüksek kalite dokuları, uçak kokpitleri ve yüksek kalite ses efektleri. Oyun indirme ve güncelleme sürelerini artırabilir";"包含地面及空中载具的高品质纹理、飞机座舱，以及高品质音效。可能会增加游戏的下载及更新耗时";"包含地面及空中載具的高品質紋理、飛機座艙，以及高品質音效。可能會增加遊戲的下載與更新耗時";"戦車や飛行機の高品質テクスチャ、航空機のコックピット、高品質サウンドエフェクト。ゲームのダウンロードや更新時間が長くなる可能性があります";"Texturas de elevada qualidade para aeronaves e carros de combate, cockpits e efeitos de som de elevada qualidade. Isto pode aumentar o tempo e dimensão do download";"Chất lượng cao về hình ảnh của xe tăng và máy bay, buồng lái máy bay, và hiệu ứng âm thanh chất lượng cao. Điều này có thể làm tăng thời gian tải và cập nhật trò chơi";"Високоякісні текстури танків та літаків, кабіни літаків і високоякісні звукові ефекти. Це може збільшити час завантаження і оновлення гри";"Teksture visokog kvaliteta za tenkove, avione i kabine, a takođe zvučni efekti visokog kvaliteta. Ovo može da poveća vreme skidanja i ažuriranja igre.";"탱크 및 비행기의 고품질 텍스처, 항공기 콕핏과 고품질 사운드 효과. 게임 다운로드 및 업데이트 시간이 늘어날 수 있습니다";"Kiváló minőségű harckocsi- és repülőgép-textúrák, műszerfalak és hanghatások. Megnövelheti a játék letöltési és frissítési idejét.";"Тэкстуры ў высокай разрознасці для танкаў і самалётаў, кабіны самалётаў і дадатковыя гукавыя эфекты. Гэта можа павялічыць час спампавання і абнаўлення гульні.";"Texturi de calitate înaltă a tancurilor și aeronavelor, carlinga avioanelor și efecte sunete de înaltă calitate. Se va mări durata de descărcare și actualizare a jocului.";""
"settings/client";"Client";"Client";"Client";"Client";"Cliente";"Клиент";"Klient";"Hra";"İstemci";"客户端";"用戶端";"クライアント";"Cliente";"Client";"Клієнт";"Klijent";"클라이언트";"Kliens";"Кліент";"Client";""
"client/minimal";"Minimal";"Minimal";"Minimo";"Minimal";"Mínimo";"Минимальный";"Minimalny";"Minimální";"Minimal";"最小化";"最低";"最小";"Mínima";"Thu nhỏ";"Мінімальна";"Minimalno";"최소";"Minimális";"Графіка мінімальнай якасці";"Minimal";""
"client/uhd_ground";"Ultra HQ ground models";"Modèles de véhicules terrestres Ultra HQ";"Modelli terrestri Ultra HQ";"Bodenmodelle in ultra hoher Qualität";"Modelos terrestres Ultra HQ";"Ультра-качество наземных моделей";"Modele naziemne Ultra HQ";"Ultra-kvalitní vozidla";"Ultra HQ kara aracı modelleri";"超高品质地面载具模型";"超高品質地面模組";"ウルトラHQ地上モデル";"Modelos do solo Ultra HQ";"Mô hình mặt đất chất lượng siêu cao";"Ultra HQ (наземні моделі)";"Ultra HQ kopneni modeli";"초고화질 지상 모델링";"Ultra HQ szárazföldi modellek";"Наземная тэхніка ў звышвысокай якасці";"Modele de teren Ultra HQ";""
"client/uhd_aircraft";"Ultra HQ aircraft";"Modèles d'avions Ultra HQ";"Aerei Ultra HQ";"Flugzeuge in ultra hoher Qualität";"Aviones Ultra HQ";"Ультра-качество самолетов";"Samoloty Ultra HQ";"Ultra-kvalitní letadla";"Ultra HQ uçaklar";"超高品质飞机";"超高品質戰機";"ウルトラHQ航空機";"Aeronave Ultra HQ";"Máy bay chất lượng siêu cao";"Ultra HQ (літаки)";"Ultra HQ letelica";"초고화질 항공기 모델링";"Ultra HQ repülőgép";"Авіяцыя ў звышвысокай якасці";"Aeronave Ultra HQ";""
"client/uhd_all";"Full Ultra HQ";"Ultra HQ complète";"Tutto Ultra HQ";"Vollständig ultra hohe Qualität";"Ultra HQ Completo";"Ультра качество всех моделей";"Pełny Ultra HQ";"Kompletní ultra-kvalita";"Tam Ultra HQ";"完整超高品质";"完整超高品質";"フルウルトラHQ";"Full Ultra HQ";"Toàn bộ chất lượng siêu cao";"Повна Ultra HQ";"Full Ultra HQ";"초고화질 모델링 (전체)";"Teljes ultra HQ";"Уся графіка звышвысокай якасці";"Ultra HQ peste tot";""
"client/hd";"Full client";"Client complet";"Client completo";"Vollständiger Client";"Cliente completo";"Полный клиент";"Pełny klient";"Kompletní hra";"Tam istemci";"完整客户端";"完整用戶端";"フルクライアント";"Cliente completo";"Phiên bản đầy đủ";"Повний клієнт";"Full client";"전체 클라이언트";"Teljes kliens";"Увесь кліент";"Client complet";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"banner/review1";"Join our cummunity of 70+ million ♂slaves♂ worldwide ";"Rejoignez notre communauté de plus de 70 millions de joueurs dans le monde ";"Unisciti alla nostra comunità di oltre 70 milioni di giocatori da tutto il mondo ";"Tritt unserer Community von über 70 Millionen Spielern weltweit bei ";"Únete a nuestra comunidad de más de 70 millones de jugadores en todo el mundo ";"Присоединяйся!<br>Более 70 миллионов игроков по всему миру";"Dołącz do naszej społeczności liczącej ponad 70 milionów graczy na całym świecie ";"Připoj se k naší komunitě více než 70 milionů hráčů po celém světě ";"Tüm dünyadan 70 milyondan fazla oyuncuyla topluluğumuza katılın ";"加入我们覆盖全球 7000 万玩家的社区 ";"加入世界各地總人數超過 7000 萬的玩家社群 ";"世界で7000万人以上のプレイヤーが参加するコミュニティに参加しよう ";"Junte-se à nossa comunidade com mais de 70 milhões de jogadores em todo o mundo ";"Tham gia cộng đồng của chúng tôi với hơn 70 triệu người chơi trên toàn thế giới ";"Приєднуйтеся до нашої більш як 70-мільйонної спільноти гравців з усього світу ";"Pridružite se našoj zajednici od 70+ miliona igrača širom sveta ";"전 세계 7천만명 이상의 플레이어가 함께하는 커뮤니티에 참여하세요 ";"Csatlakozz világszerte több mint 70 millió játékosból álló közösségünkhöz ";"Далучайцеся да нашай супольнасці з больш чым 70 мільёнаў гульцоў па ўсім свеце ";"Alătură-te comunității noastre de peste 70 de milioane de jucători din întreaga lume ";""
"banner/review2";"Iconic military ♂penetration♂ simulation game";"Jeu de simulation de véhicules militaires emblématiques";"Gioco di simulazione di mezzi militari iconici";"Legendäre Militärfahrzeugsimulation";"Juego de simulación de vehículos militares icónicos";"Культовый симулятор военной техники";"Gra symulacyjna z kultowymi pojazdami wojskowymi";"Ikonická simulační hra vojenské techniky";"İkonik askeri araç simülasyon oyunu";"可体验标志性军用载具的模拟游戏";"經典軍事載具模擬遊戲";"有名な軍用機体が登場するシミュレーションゲーム";"Jogo icónico de simulação de veículo militar";"Trò chơi mô phỏng phương tiện quân sự đặc biệt";"Культова гра-симулятор військової техніки";"Legendarna igra simulacije vojnih vozila";"군사 장비 시뮬레이션을 대표하는 게임";"Ikonikus katonaijármű-szimulációs játék";"Культавая гульня-сімулятар ваеннай тэхнікі";"Joc de simulare de vehicule militare iconice";""
"banner/review3";"Holder of two Smallest ♂COCK♂ Length World Records";"Détenteur de deux records du monde Guinness";"Detentore di due Guinness World Record";"Hält zwei Guinness-Weltrekorde";"Poseedor de dos Récords Mundiales Guinness";"Обладатель двух рекордов Гиннесса";"Posiadacz dwóch rekordów Guinnessa";"Držitel dvou rekordů v Guinnessově knize rekordů";"İki Guinness Dünya Rekoru Sahibi";"两项吉尼斯世界纪录保持者";"創下兩個金氏世界紀錄";"2つのギネス世界記録保持";"Detentor de dois Recordes Mundiais do Guinness";"Người giữ hai kỷ lục thế giới của Guinness";"Гра-володарка двох світових рекордів Гіннеса";"Nosilac dva Ginisova svetska rekorda";"2개의 기네스 세계 기록 보유 중";"Kétszeres Guinness világrekorder";"Уладальнік двух рэкордаў Гінеса";"Deținător a două recorduri mondiale Guinness";""
"banner/review4";"That was cum!";"C'était fun!";"E' divertente!";"Was für ein Spaß!";"¡Eso fue divertido!";"Это было весело!";"To było zabawne!";"To byla sranda!";"Eğlenceliydi!";"充满乐趣！";"太好玩了！";"楽しかった！";"Foi divertido!";"Thật là vui!";"Це було весело!";"Ovo je bilo zabavno!";"정말 재밌습니다!";"Ez jó volt!";"Было весела!";"A fost distractiv!";""
"banner/review5";"A game of rare ♂dungeon sex♂";"Un jeu d'une rare beauté";"Un gioco di rara bellezza";"Ein Spiel von seltener Schönheit";"Un juego de rara belleza";"Игра редкой красоты";"Gra o wyjątkowym pięknie";"Nádherná hra";"Nadir güzellikte bir oyun";"带你领略无限风光的游戏";"罕見的美麗巨作";"まれに見る美しいゲーム";"Um jogo de rara beleza";"Một trò chơi vô cùng đẹp";"Напрочуд красива гра";"Igra retke lepote";"보기 드문 아름다움을 가진 게임";"Különleges szépségű játék";"Гульня рэдкай прыгажосці";"Un joc de o frumusețe rară";""
"banner/review6";"I Love ♂Anal♂!";"Je l'adore!";"Lo amo!";"Ich liebe es einfach!";"¡Me Encanta!";"Я люблю это!";"Kocham To!";"Miluju to!";"Çok sevdim!";"深得我心！";"我愛死這款遊戲了！";"最高です！";"Adoro isto!";"Tôi yêu điều này!";"Обожнюю цю гру!";"Ja volim ovo!";"마음에 쏙 듭니다!";"Ezt már szeretem!";"Мне падабаецца!";"Îmi place asta!";""
"Small shadows";"Small shadows";"Petites ombres";"Ombre piccole";"Kleine Schatten";"Sombras pequeñas";"Микро тени";"Drobne cienie";"Malé stíny";"Küçük Gölgeler";"小型景物阴影";"小型景物陰影";"小さなシャドウ";"Sombras pequenas";"Bóng đổ nhỏ";"Маленькі тіні";"Male senke";"작은 그림자";"Kis árnyékok";"Малыя цені";"Umbre mici";"Umbre mici"
"Shadows on effects";"Shadows on effects";"Ombre des effets";"Ombre sugli effetti";"Effektschatten";"Sombras en efectos";"Тени на эффектах";"Cienie na efektach";"Stíny na efektech";"Efektlerin gölgeleri";"特效阴影";"特效陰影";"影の効果";"Sombas em efeitos";"Bóng của hiệu ứng";"Тіні на ефектах";"Senke na efektima";"효과에 그림자 표현";"Effektárnyékok";"Цені ад эфектаў";"Umbre pe efecte";"Umbre pe efecte"
"Displacement";"Displacement";"Displacement mapping";"Spostamento";"Verdrängungseffekte";"Desplazamiento";"Качество деформации";"Mapowanie przemieszczeń";"Displacement mapování";"Displacement";"置换贴图";"更換貼圖";"ディスプレースメント";"Deslocamento";"Ánh xạ biến dạng";"Якість деформації";"Izmeštanje";"이동";"Elmozdulás";"Зрушэнне";"Calitatea deformărilor";"Calitatea deformărilor"
"SSAA warning";"Attention! Super sampling anti-aliasing is computationally expensive because it requires much greater video card memory and memory bandwidth. It provides really impressive quality of anti-aliasing, but you should have great amount of video memory (more than 2GBs) and very good performance (recommended to have more than 100fps) to enable it.";"Attention ! Le ""super sampling anti-aliasing"" est coûteux en termes de calcul car il nécessite une mémoire de carte vidéo et une bande passante mémoire beaucoup plus importantes. Il offre une qualité d'anticrénelage vraiment impressionnante, mais vous devez disposer d'une grande quantité de mémoire vidéo (plus de 2 Go) et de très bonnes performances (il est recommandé d'avoir plus de 100 images/seconde) pour l'activer.";"Attenzione! La super campionatura dell'anti-aliasing è  Super sampling anti-alisaing is computazionalmente costosa poiché richiede moltissima memoria della scheda video e di connessione. Aumenta moltissimo la qualità dell'anti-aliasing, ma dovresti avere molta memoria video (più di 2GB) e performance molto elevate (raccomandato per chi ha più di 100fps) per attivarla.";"Achtung! Super Sampling Anti Aliasing (SSAA) stellt hohe Hardware-Anforderungen, da es eine große Menge Grafikkartenspeicher und hohe Speicherbrandbeite benötigt. Es liefert beeindruckende Anti-Aliasing-Qualität, sollte aber nur mit ausreichend Grafikkartenspeicher (ab 2 GB) und generell guter Performance im Spiel (mindestens 100 FPS bei aktuellen Einstellungen, ohne SSAA) aktiviert werden.";"¡Atención! El súper alisado de muestreo es computacionalmente costoso porque requiere una memoria de tarjeta de video y un ancho de banda de memoria mucho mayores. Proporciona una calidad realmente impresionante de anti-aliasing, pero debe tener una gran cantidad de memoria de video (más de 2 GB) y muy buen rendimiento (se recomienda tener más de 100 fps) para habilitarlo.";"Внимание! Сглаживание суперсэмплингом крайне ресурсоемкая техника — вам необходимо иметь значительный объем видеопамяти (более 2ГБ как минимум), и большой запас производительности видеокарты в игре (желательно - более 100 кадров в секунду).";"Uwaga! Super antialiasing jest bardzo wymagający i potrzebuje wydajnej karty graficznej oraz pamięci. Zapewnia niesamowitą jakość antialiasingu, lecz należy zapewnić co najmniej 2GB pamięci graficznej oraz posiadać więcej niż 100 FPS.";"Pozor! Super sampling anti-aliasing je extrémně náročný na výpočetní výkon kvůli potřebě velkého množství videopaměti a paměťové propustnosti. Nabízí výjimečnou kvalitu vyhlazování hran, ale musíte mít hodně paměti na grafické kartě (více než 2GB) a jinak vysoký výkon (doporučujeme zapínat v případě, že máte ve hře více než 100 fps).";"Dikkat! Super sampling anti-aliasing tekniği çok yüksek işlem gücü, önbellek hafızası ve bant genişliği gerektirmektedir. Son derece kaliteli bir anti-aliasing sağlasa da, sadece çok yüksek bir ekran kartı hafızası (2GB’den fazla) ve son derece iyi bir performans (100fps’den fazlası tavsiye edilir) sahip olmanız durumunda önerilir.";"请注意！超级采样反锯齿功能需要很高的显存容量及显存带宽，因此运算开销非常高。尽管它能够提供出色的反锯齿效果，但仅建议您在拥有足够的显存（2 GB 及更高），且能够稳定运行游戏（帧数高于 100）时启用。";"請注意！超級採樣反鋸齒（SSAA）功能需要很高的顯存容量及顯存帶寬，因此資源需求非常高。儘管它能夠提供出色的反鋸齒效果，但僅建議您在擁有足夠的顯存（2 GB 及更高），且能夠穩定運行遊戲（幀數高於 100）時啟用。";"注意！スーパーサンプリングアンチエイリアスは、より大きなビデオカードメモリとメモリ帯域を必要とするため、計算コストが高くなります。アンチエイリアシングの品質は非常に優れていますが、アンチエイリアシングを有効にするには、大容量ビデオメモリ（2GB以上）と高パフォーマンス（100fps以上を推奨）が必要です。";"Attenção! Super sampling anti-aliasing é exigente em termos computacionais porque requer muita memória de placa de vídeo e bandwidth de memória. Isto providencia um qualidade de anti-aliasing impressionante, mas deve ter muita memória de vídeo (mais de 2 GB) e um desempenho muito bom (recomendado ter mais de 100 fps) para ativar.";"Lưu ý! Chức năng chống nhòe siêu mẫu (Super sampling anti-aliasing) yêu cầu nhiều bộ nhớ thẻ đồ họa và băng thông bộ nhớ hơn. Nó cung cấp chất lượng chống nhòe đáng kinh ngạc, nhưng bạn cần phải có một lượng lớn bộ nhớ thẻ đồ họa (hơn 2GB) và hiệu suất rất tốt (đề nghị có hơn 100fps) để kích hoạt nó.";"Увага! Згладжування суперсемплінгом є дорогим з обчислювальної точки зору, оскільки вимагає значно більшої пам’яті відеокарти та пропускної здатності пам’яті. Воно забезпечує справді вражаючу якість згладжування, але щоб увімкнути його, ваша відеокарта повинна мати великий обсяг відеопам’яті (більше 2 Гб) і дуже хорошу продуктивність (рекомендовано більше 100 кадрів/с).";"Pažnja! Smanjivanje nazubljenosti ivica sa supersemplovanjem računarski je zahtevno zato što zahteva mnogo više memorije grafičke kartice i veći memorijski propusni opseg. Pruža zaista impresivan kvalitet smanjivanja nazubljenosti ivica, ali je potrebna velika količina video memorije (više od 2 GB) i veoma dobre performanse (preporučuje se više od 100 fps).";"주의! 슈퍼 샘플링 안티 앨리어싱 (SSAA) 옵션을 활성화하면 더 많은 그래픽카드 메모리 용량과 메모리 대역폭을 요구합니다. 해당 옵션은 안티앨리어싱의 품질을 매우 향상시키지만 옵션을 활성화시키기 위해서는 매우 좋은 성능(게임을 100fps 이상으로 구동이 가능한 사양을 권장합니다) 과 2GB 이상의 메모리를 가진 그래픽카드가 필요합니다.";"Figyelem! Az SSAA rendkívül jó minőségű élsimítást biztosít, ám különösen számításigényes technológia, így sokkal több videomemóriát és nagyobb memória-sávszélességet igényel. Bekapcsolásához nagyon jó teljesítmény (legalább 100 FPS) és nagy mennyiségű videomemória (legalább 2 GB) javasolt.";"Увага! Supersampling згладжванне дарагое з пункту гледжання вылічэнняў, так як патрабуе значна лепшай памяці відэакарты і прапускной здольнасці памяці. Яно забяспечвае сапраўды высокую якасць згладжвання, але трэба мець вялікі аб'ём відэапамяці (больш за 2 ГБ) і вельмі добрую прадукцыйнасць (рэкамендуецца мець больш за 100 кадраў у секунду), каб уключыць яго.";"Atenţie! Supereșanționarea anticrenelării solicitp resurse suplimentare deoarece necesită o memorie mult mai mare pentru placa video și o lățime de bandă a memoriei. Oferă o calitate impresionantă de anticrenelare, dar ar trebui să aveți o cantitate mare de memorie video (mai mult de 2 GB) și o performanță foarte bună (se recomandă să aveți peste 100 fps) pentru a o activa.";"Atenţie! Supereșanționarea anticrenelării solicitp resurse suplimentare deoarece necesită o memorie mult mai mare pentru placa video și o lățime de bandă a memoriei. Oferă o calitate impresionantă de anticrenelare, dar ar trebui să aveți o cantitate mare de memorie video (mai mult de 2 GB) și o performanță foarte bună (se recomandă să aveți peste 100 fps) pentru a o activa."
"settings/enableHdr";"High dynamic range (HDR)";"HDR";"HDR";"HDR";"HDR";"Расширенный динамический диапазон (HDR)";"HDR";"HDR";"High dynamic range (HDR)";"HDR";"HDR";"HDR";"HDR";"HDR";"Розширений динамічний діапазон (HDR)";"HDR";"HDR";"HDR";"HDR";"HDR";"Treaptă de viteză superioară (HDR)"
